,mean,std
avg_comment_to_like_ratio,0.13251684664202804,0.8018946711712254
avg_hook_retention_rate,2.414636285818257,11.700122031993496
action_theme_diversity_score,16.13783844260461,2.628228564887718
price_to_median_views_ratio,0.15082958656528273,0.07319563149210874
trend_momentum,0.6230436470851487,0.21101834364465896
usage_of_low_quality_products,0.09585324743582405,0.05289646634054868
negative_sentiment_rate,0.15498134450020778,0.08100429535449762
authenticity,0.7472737870254793,0.12974337623072352
comment_sentiment,0.7014857747309751,0.15029544533688416
hashtag_strategy,0.5836082536841096,0.22168467629366093
past_collaborations_success,0.6325652497629171,0.18127034155411978
price_to_engagement_ratio,0.15164627888542917,0.07657844544156182
daily_profile_views,9684.920071528042,4838.665572119212
content_diversity_score,0.6783546460717829,0.1950887672467923
strongest_engagement_growth_post_upload,0.5687792355369116,0.22936129279465514
brand_risk_score,0.2605283630197494,0.13770737228965635
follower_count,476924.7562618242,277353.9290656227
video_quality,0.6981389275908066,0.16742295933870868
engagement_velocity,0.5758932403018775,0.22939790616398864
creator_price,2454.6497691081913,1275.9849812405002
trend_resonance,0.5699985697442682,0.21878540126102586
hook_retention_rate,0.5584751451173443,0.23809876402729338
upload_consistency,0.6457687820123489,0.19528576146760765
trend_personalization,0.668402435461274,0.1734661349387368
avg_view_count,494389.0617701307,60441.178119881435
avg_like_count,253015.45187398564,28378.16173033122
avg_comment_count,4998.470683231091,566.599148871052
avg_share_count,2535.1565848686005,252.70670448153788
