,mean,std
avg_hook_retention_rate,1.6326620802725058,2.497642694748595
action_theme_diversity_score,16.12175925925926,2.622588513147157
price_to_median_views_ratio,0.15021352369450192,0.07317926329680081
trend_momentum,0.6239679602396514,0.2116317583605108
usage_of_low_quality_products,0.096502137166236,0.05274944791928717
negative_sentiment_rate,0.15439736772486773,0.08094576091067611
authenticity,0.7476521209839359,0.129722855943113
comment_sentiment,0.7013761195286194,0.15092624213100791
hashtag_strategy,0.5855748346560847,0.22185850647384192
past_collaborations_success,0.63718884755291,0.17966105853391198
price_to_engagement_ratio,0.15056602322661644,0.07541646368956294
daily_profile_views,9749.69844291122,4814.128540633965
content_diversity_score,0.6788606280774995,0.19652022410899347
strongest_engagement_growth_post_upload,0.5670122336568495,0.2279283442451733
brand_risk_score,0.2634159360950546,0.1380800622041386
follower_count,472249.955743184,276055.2175933623
video_quality,0.6993071452322488,0.1675859526765664
engagement_velocity,0.5765983543771043,0.2323664444793916
creator_price,2450.3017461477734,1285.9918550683806
trend_resonance,0.5740149555988737,0.21868047984940964
hook_retention_rate,0.5645973202614379,0.23606396038745783
upload_consistency,0.6448223659442409,0.19437645768960593
trend_personalization,0.6678267471691436,0.17611499679933965
avg_view_count,496092.32433416316,58140.65426164399
avg_like_count,252770.8769691187,27348.640976298084
avg_comment_count,4997.809402697071,567.914387624792
avg_share_count,2534.440468106996,245.89077374824154
avg_comment_to_like_ratio,0.06727872886277819,0.09800170608707064
